Store,Total_Store_Sales,Cluster,Zip,Type
S0001,23508945.82,1,92027,Existing
S0002,17334619.57,1,92040,Existing
S0003,30240661.99,2,90026,Existing
S0004,27913890.97,1,92078,Existing
S0005,27825886.17,2,90019,Existing
S0006,34625420.87,1,92071,Existing
S0007,30863087.31,1,93010,Existing
S0008,29181879.77,2,90020,Existing
S0009,40678620.31,3,93536,Existing
S0010,21703928.12,2,93108,Existing
S0011,22395673.62,1,91752,Existing
S0012,49186541.13,3,93436,Existing
S0013,39169150.41,3,92506,Existing
S0014,30987962.62,3,92620,Existing
S0015,37353757.66,3,92131,Existing
S0016,23352796.79,1,92020,Existing
S0017,31540952.65,2,92677,Existing
S0018,24278729.39,1,90240,Existing
S0019,19682144.37,3,92345,Existing
S0020,23970811.4,2,93013,Existing
S0021,21742449.28,2,90403,Existing
S0022,28489431.71,1,92064,Existing
S0023,17688112.54,2,92649,Existing
S0024,24523501.43,3,90603,Existing
S0025,31318921.91,1,92865,Existing
S0026,21220147.15,2,91020,Existing
S0027,26550184.65,2,90265,Existing
S0028,17311101.58,1,91321,Existing
S0029,33606658.38,3,93534,Existing
S0030,25497338,1,92545,Existing
S0031,29269437.14,3,92532,Existing
S0032,24165557.27,3,91351,Existing
S0033,32960487.75,2,90720,Existing
S0034,31050056.12,2,93023,Existing
S0035,18365221.17,1,91786,Existing
S0036,17827104.45,3,92399,Existing
S0037,31286950.57,3,92130,Existing
S0038,20632448.59,2,93063,Existing
S0039,21361323.01,1,90731,Existing
S0040,37025722.69,3,90807,Existing
S0041,25267518.33,1,90670,Existing
S0042,40361802.94,1,92021,Existing
S0043,27158493.58,2,91360,Existing
S0044,35532265.7,1,91042,Existing
S0045,42304090.96,3,91737,Existing
S0046,42308785.73,2,90815,Existing
S0047,45096641.3,3,91709,Existing
S0048,34784203.58,3,92057,Existing
S0049,22498605.89,2,92780,Existing
S0050,43939211.84,2,90274,Existing
S0051,32361272.14,2,92692,Existing
S0052,46987873.31,2,91011,Existing
S0053,30897555.99,1,92243,Existing
S0054,38270311.41,2,93063,Existing
S0055,39002676,3,92026,Existing
S0056,21812315.49,2,92675,Existing
S0057,33446355.83,1,90301,Existing
S0058,28866475.12,1,93065,Existing
S0059,28986872.68,3,92021,Existing
S0060,34886833.64,2,92025,Existing
S0061,42022570.72,1,92284,Existing
S0062,26064799.99,3,92883,Existing
S0063,20844141.93,2,90028,Existing
S0064,22854243.72,2,91324,Existing
S0065,34670181.19,2,91750,Existing
S0066,35306667.57,3,92374,Existing
S0067,28697527.75,1,93065,Existing
S0068,38824343.52,2,91504,Existing
S0069,24609296.52,2,90732,Existing
S0070,35369811.65,3,90807,Existing
S0071,30947739.96,3,92311,Existing
S0072,38059818.31,3,93436,Existing
S0073,35879715.24,2,93117,Existing
S0074,20508215.14,1,91790,Existing
S0075,31159295.68,1,91911,Existing
S0076,22609121.51,2,90041,Existing
S0077,26951114.68,2,93111,Existing
S0078,18405544.69,2,93105,Existing
S0079,23735310.88,3,93551,Existing
S0080,12618744.15,3,92591,Existing
S0081,14701931.83,2,90503,Existing
S0082,34926733.05,1,92315,Existing
S0083,19002814.15,2,91016,Existing
S0084,21553681.04,2,90713,Existing
S0085,21552703.64,2,91206,Existing
